BHK,Price,Location,Area,Furnishing,Tenant_Pref,Full_Title,Page_Found
3 BHK,"₹34,000 /month",Hawelia Valenova Park,"1,870 sqft(174 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Techzone 4 Greater Noida West, Greater Noida",27
3 BHK,"₹22,000 /month",Amrapali Golf Homes,"1,425 sqft(132 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Sector 4, Greater Noida West",27
2 BHK,"₹26,500 /month",Gulshan Bellina,"1,105 sqft(103 sqm)",N/A,Not Specified,"2 BHK Flat for rent in Sector 16, Greater Noida",27
3 BHK,"₹29,000 /month",Gulshan Bellina,"1,350 sqft(125 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Sector 16, Greater Noida",27
3 BHK,"₹20,500 /month",Amrapali Golf Homes,"1,115 sqft(104 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Sector 4, Greater Noida West",27
3 BHK,"₹23,000 /month",Amrapali Golf Homes,"1,425 sqft(132 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Sector 4, Greater Noida West",27
2 BHK,"₹15,900 /month",Amrapali Golf Homes,945 sqft(88 sqm),N/A,Not Specified,"2 BHK Flat for rent in Sector 4, Greater Noida West",27
3 BHK,"₹19,000 /month",Amrapali Golf Homes,"1,115 sqft(104 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Sector 4, Greater Noida West",27
N/A,"₹40,000 /month",Amrapali Leisure Valley,"1,825 sqft(170 sqm)",Furnished,Not Specified,3 Bedroom House for rent in Sector 1 Greater Noida West,27
2 BHK,"₹16,300 /month",Amrapali Golf Homes,825 sqft(77 sqm),Unfurnished,Not Specified,"2 BHK Flat for rent in Sector 4, Greater Noida West",27
2 BHK,"₹17,000 /month",Amrapali Golf Homes,945 sqft(88 sqm),N/A,Not Specified,"2 BHK Flat for rent in Sector 4, Greater Noida West",27
2 BHK,"₹17,000 /month",Amrapali Golf Homes,930 sqft(86 sqm),N/A,Not Specified,"2 BHK Flat for rent in Sector 4, Greater Noida West",27
3 BHK,"₹40,000 /month",ATS Nobility,"1,675 sqft(156 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Sector-4 Greater Noida West, Greater Noida",27
3 BHK,"₹31,000 /month",Stellar Jeevan,"1,441 sqft(134 sqm)",Furnished,Not Specified,3 BHK Flat for rent in Sector 1 Greater Noida West,27
2 BHK,"₹18,000 /month",Amrapali Golf Homes,"1,200 sqft(111 sqm)",N/A,Not Specified,"2 BHK Flat for rent in Sector 4, Greater Noida West",27
2 BHK,"₹17,200 /month",Amrapali Golf Homes,945 sqft(88 sqm),N/A,Not Specified,"2 BHK Flat for rent in Sector 4, Greater Noida West",27
2 BHK,"₹17,900 /month",Amrapali Golf Homes,835 sqft(78 sqm),N/A,Not Specified,"2 BHK Flat for rent in Sector 4, Greater Noida West",27
2 BHK,"₹16,543 /month",Amrapali Golf Homes,835 sqft(78 sqm),N/A,Not Specified,"2 BHK Flat for rent in Sector 4, Greater Noida West",27
2 BHK,"₹16,700 /month",Amrapali Golf Homes,835 sqft(78 sqm),Unfurnished,Not Specified,"2 BHK Flat for rent in Sector 4, Greater Noida West",27
2 BHK,"₹17,100 /month",Amrapali Golf Homes,945 sqft(88 sqm),N/A,Not Specified,"2 BHK Flat for rent in Sector 4, Greater Noida West",27
3 BHK,"₹19,900 /month",Amrapali Golf Homes,"1,115 sqft(104 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Sector 4, Greater Noida West",27
2 BHK,"₹18,900 /month",Amrapali Golf Homes,945 sqft(88 sqm),N/A,Not Specified,"2 BHK Flat for rent in Sector 4, Greater Noida West",28
3 BHK,"₹25,000 /month",Omkar Royal Nest,"1,555 sqft(144 sqm)",Semi-Furnished,Not Specified,"3 BHK Flat for rent in Techzone 4 Greater Noida West, Greater Noida",28
4 BHK,"₹51,000 /month",Omkar Royal Nest,"2,100 sqft(195 sqm)",Furnished,Not Specified,"4 BHK Flat for rent in Techzone 4 Greater Noida West, Greater Noida",28
3 BHK,"₹42,000 /month",ATS Nobility,"1,675 sqft(156 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Sector-4 Greater Noida West, Greater Noida",28
4 BHK,"₹80,000 /month",Royal Nest,"3,223 sqft(299 sqm)",Furnished,Not Specified,"4 BHK Flat for rent in Techzone 4 Greater Noida West, Greater Noida",28
N/A,"₹32,000 /month",Paramount Golfforeste,"2,185 sqft(203 sqm)",N/A,Not Specified,"3 Bedroom House for rent in Sector ZETA, Greater Noida",28
1 BHK,"₹20,000 /month",Habitech Panchtatva,580 sqft(54 sqm),Furnished,Not Specified,"1 BHK Flat for rent in Techzone 4 Greater Noida West, Greater Noida",28
2 BHK,"₹20,000 /month",Saviour Greenarch,860 sqft(80 sqm),N/A,Not Specified,"2 BHK Flat for rent in Techzone 4 Greater Noida West, Greater Noida",28
3 BHK,"₹21,600 /month",Gaur City 2 14th Avenue,"1,175 sqft(109 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Sector 16C, Greater Noida",28
3 BHK,"₹20,500 /month",Gaur City 2 14th Avenue,"1,175 sqft(109 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Sector 16C, Greater Noida",28
2 BHK,"₹16,990 /month",Amrapali Golf Homes,945 sqft(88 sqm),N/A,Not Specified,"2 BHK Flat for rent in Sector 4, Greater Noida West",28
N/A,"₹40,000 /month",Amrapali Dream Valley High Life 2,"2,525 sqft(235 sqm)",Semi-Furnished,Not Specified,4 Bedroom House for rent in Noida Extension,28
N/A,"₹45,000 /month","Amrapali Leisure Valley, Greater Noida West, Greater Noida","2,525 sqft(235 sqm)",Semi-Furnished,Not Specified,"5 Bedroom House for rent in Amrapali Leisure Valley, Greater Noida West",28
3 BHK,"₹26,000 /month",Amrapali Centurian Park,"1,545 sqft(144 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Techzone 4 Greater Noida West, Greater Noida",28
3 BHK,"₹30,000 /month",Gaur City 2 14th Avenue,"1,300 sqft(121 sqm)",Furnished,Not Specified,"3 BHK Flat for rent in Sector 16C, Greater Noida",28
2 BHK,"₹19,000 /month",Panchsheel Greens,975 sqft(91 sqm),N/A,Not Specified,"2 BHK Flat for rent in Sector 16B, Greater Noida",28
3 BHK,"₹42,000 /month",ATS Dolce,"2,315 sqft(215 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Sector ZETA 1, Greater Noida",28
3 BHK,"₹44,000 /month",ATS Dolce,"2,315 sqft(215 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Sector ZETA 1, Greater Noida",28
2 BHK,"₹16,000 /month",Amrapali Golf Homes,945 sqft(88 sqm),N/A,Not Specified,"2 BHK Flat for rent in Sector 4, Greater Noida West",28
3 BHK,"₹25,000 /month",CGEWHO Phase 1,"1,470 sqft(137 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Sector P4, Greater Noida",28
2 BHK,"₹21,000 /month",RG Luxury Homes,"1,372 sqft(127 sqm)",N/A,Not Specified,"2 BHK Flat for rent in Sector 16B, Greater Noida",28
N/A,"₹73,000 /month",Godrej Golf Link Park Lane,"1,125 sqft(105 sqm)",N/A,Not Specified,"4 Bedroom House for rent in Sector 27, Greater Noida",28
2 BHK,"₹22,000 /month",Nirala Aspire,"1,065 sqft(99 sqm)",N/A,Not Specified,"2 BHK Flat for rent in Sector 16, Greater Noida",28
2 BHK,"₹22,000 /month",Trident Embassy,"1,129 sqft(105 sqm)",N/A,Not Specified,2 BHK Flat for rent in Sector 1 Greater Noida West,28
1 BHK,"₹13,000 /month",Amrapali Dream Valley High Life 2,585 sqft(54 sqm),N/A,Not Specified,1 BHK Flat for rent in Noida Extension,28
2 BHK,"₹20,000 /month",Panchsheel Greens,"1,075 sqft(100 sqm)",N/A,Not Specified,"2 BHK Flat for rent in Sector 16B, Greater Noida",29
3 BHK,"₹23,000 /month",French Apartments,"1,459 sqft(136 sqm)",N/A,Not Specified,3 BHK Flat for rent in Noida Extension,29
3 BHK,"₹25,000 /month",Nirala Greenshire,"1,470 sqft(137 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Sector 2, Greater Noida West",29
2 BHK,"₹23,000 /month",Hawelia Valencia Homes,"11,000 sqft(1,022 sqm)",N/A,Not Specified,2 BHK Flat for rent in Sector 1 Greater Noida West,29
2 BHK,"₹19,000 /month",Mahagun Mywoods Phase 1,"1,110 sqft(103 sqm)",N/A,Not Specified,"2 BHK Flat for rent in Sector 16C, Greater Noida",29
3 BHK,"₹24,500 /month",Shri Radha Sky Gardens,"1,465 sqft(136 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Sector 16B, Greater Noida",29
2 BHK,"₹23,000 /month",Anthem French Apartments,"1,148 sqft(107 sqm)",N/A,Not Specified,"2 BHK Flat for rent in Sector 16B, Greater Noida",29
3 BHK,"₹27,000 /month",Arihant Abode,"1,270 sqft(118 sqm)",Furnished,Not Specified,"3 BHK Flat for rent in Sector 10 Greater Noida West, Greater Noida",29
3 BHK,"₹22,000 /month",Mahagun Mywoods Phase 1,"1,370 sqft(127 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Sector 16C, Greater Noida",29
3 BHK,"₹30,000 /month",Gulshan Bellina,"1,350 sqft(125 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Sector 16, Greater Noida",29
3 BHK,"₹24,500 /month",Panchsheel Greens 2,"1,480 sqft(138 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Sector 16, Greater Noida",29
3 BHK,"₹24,000 /month",SKA Greenarch,"1,220 sqft(113 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Sector 16B, Greater Noida",29
2 BHK,"₹20,000 /month",Nirala Greenshire,950 sqft(88 sqm),Furnished,Not Specified,"2 BHK Flat for rent in Sector 2, Greater Noida West",29
3 BHK,"₹23,000 /month",Mahagun Mywoods Phase 1,"1,240 sqft(115 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Sector 16C, Greater Noida",29
2 BHK,"₹18,500 /month",Ajnara Le Garden,995 sqft(92 sqm),N/A,Not Specified,"2 BHK Flat for rent in Sector 16B, Greater Noida",29
2 BHK,"₹19,000 /month",Nirala Aspire,890 sqft(83 sqm),N/A,Not Specified,"2 BHK Flat for rent in Sector 16, Greater Noida",29
3 BHK,"₹25,000 /month",SKA Greenarch,"1,220 sqft(113 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Sector 16B, Greater Noida",29
2 BHK,"₹19,000 /month",Panchsheel Greens 2,915 sqft(85 sqm),N/A,Not Specified,"2 BHK Flat for rent in Sector 16, Greater Noida",29
2 BHK,"₹22,000 /month",Stellar Jeevan,"1,193 sqft(111 sqm)",Fully Furnished,Not Specified,2 BHK Flat for rent in Sector 1 Greater Noida West,29
2 BHK,"₹19,500 /month",Eros Sampoornam,"1,060 sqft(98 sqm)",N/A,Not Specified,"2 BHK Flat for rent in Sector 2, Greater Noida West",29
2 BHK,"₹17,000 /month",Eros Sampoornam,855 sqft(79 sqm),N/A,Not Specified,"2 BHK Flat for rent in Sector 2, Greater Noida West",29
N/A,"₹16,051 /month",Paramount Golfmart,435 sqft(40 sqm),Furnished,Not Specified,"Studio Apartments / 1 RK Flats for rent in Sector ZETA 1, Greater Noida",29
3 BHK,"₹21,000 /month",Gaur City 2 14th Avenue,"1,300 sqft(121 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Sector 16C, Greater Noida",29
2 BHK,"₹18,000 /month",Ace City,"1,090 sqft(101 sqm)",N/A,Not Specified,2 BHK Flat for rent in Sector 1 Greater Noida West,29
N/A,"₹30,000 /month",Panchsheel Villas,"1,800 sqft(167 sqm)",Semi-Furnished,Not Specified,"4 Bedroom House for rent in Sector 16B, Greater Noida",29
2 BHK,"₹16,000 /month",Supertech Ecovillage 2,"1,100 sqft(102 sqm)",N/A,Not Specified,"2 BHK Flat for rent in Sector 16B, Greater Noida",30
3 BHK,"₹20,000 /month",Amrapali Centurian Park,"1,400 sqft(130 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Techzone 4 Greater Noida West, Greater Noida",30
2 BHK,"₹17,000 /month",Amrapali Centurian Park Terrace Homes,990 sqft(92 sqm),N/A,Not Specified,"2 BHK Flat for rent in Sector 4, Greater Noida West",30
3 BHK,"₹22,000 /month",Supertech Ecovillage 2,"1,545 sqft(144 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Sector 16B, Greater Noida",30
2 BHK,"₹15,500 /month",Mahagun Mywoods Maverick,"1,000 sqft(93 sqm)",N/A,Not Specified,"2 BHK Flat for rent in Sector 16C, Greater Noida",30
4 BHK,"₹26,000 /month",Mahagun Mywoods Phase 1,"1,810 sqft(168 sqm)",N/A,Not Specified,"4 BHK Flat for rent in Sector 16C, Greater Noida",30
3 BHK,"₹28,000 /month",Nirala Estate Phase 2,"1,385 sqft(129 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Techzone 4 Greater Noida West, Greater Noida",30
2 BHK,"₹16,000 /month",Amrapali Golf Homes,835 sqft(78 sqm),N/A,Not Specified,"2 BHK Flat for rent in Sector 4, Greater Noida West",30
3 BHK,"₹19,000 /month",Amrapali Centurian Park Terrace Homes,"1,185 sqft(110 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Sector 4, Greater Noida West",30
3 BHK,"₹32,000 /month",Nirala Estate Phase 2,"1,385 sqft(129 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Techzone 4 Greater Noida West, Greater Noida",30
N/A,"₹30,000 /month",Amrapali Dream Valley Villas,810 sqft(75 sqm),Semi-Furnished,Not Specified,"3 Bedroom House for rent in Greater Noida West, Greater Noida",30
2 BHK,"₹21,000 /month",Ace City,"1,090 sqft(101 sqm)",N/A,Not Specified,2 BHK Flat for rent in Sector 1 Greater Noida West,30
2 BHK,"₹22,000 /month",Capital Athena,"1,075 sqft(100 sqm)",N/A,Not Specified,2 BHK Flat for rent in Sector 1 Greater Noida West,30
3 BHK,"₹24,500 /month",Gaur 16th Avenue,"1,500 sqft(139 sqm)",N/A,Not Specified,3 BHK Flat for rent in Noida Extension,30
3 BHK,"₹20,000 /month",Gaur 12th Avenue,"1,320 sqft(123 sqm)",Semi-Furnished,Not Specified,3 BHK Flat for rent in Noida Extension,30
2 BHK,"₹19,000 /month",Supertech Ecovillage 2,890 sqft(83 sqm),N/A,Not Specified,"2 BHK Flat for rent in Sector 16B, Greater Noida",30
2 BHK,"₹19,999 /month",Gaur City 7th Avenue,"1,075 sqft(100 sqm)",N/A,Not Specified,"2 BHK Flat for rent in Sector 4, Greater Noida West",30
4 BHK,"₹30,000 /month",CGEWHO Phase 1,"2,100 sqft(195 sqm)",N/A,Not Specified,"4 BHK Flat for rent in Sector P4, Greater Noida",30
2 BHK,"₹19,000 /month",Amrapali Centurian Park,"1,055 sqft(98 sqm)",N/A,Not Specified,"2 BHK Flat for rent in Techzone 4 Greater Noida West, Greater Noida",30
3 BHK,"₹25,000 /month",Amrapali Centurian Park,"1,675 sqft(156 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Techzone 4 Greater Noida West, Greater Noida",30
3 BHK,"₹22,000 /month",Amrapali Centurian Park,"1,535 sqft(143 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Techzone 4 Greater Noida West, Greater Noida",30
3 BHK,"₹25,000 /month",Samridhi Grand Avenue,"1,380 sqft(128 sqm)",Semi-Furnished,Not Specified,"3 BHK Flat for rent in Techzone 4 Greater Noida West, Greater Noida",30
3 BHK,"₹19,500 /month",Amrapali Golf Homes,"1,380 sqft(128 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Sector 4, Greater Noida West",30
3 BHK,"₹25,501 /month",Gaur City 7th Avenue,"1,350 sqft(125 sqm)",Semi-Furnished,Not Specified,"3 BHK Flat for rent in Sector 4, Greater Noida West",30
2 BHK,"₹17,009 /month",Amrapali Golf Homes,945 sqft(88 sqm),N/A,Not Specified,"2 BHK Flat for rent in Sector 4, Greater Noida West",30
2 BHK,"₹16,002 /month",Amrapali Golf Homes,835 sqft(78 sqm),N/A,Not Specified,"2 BHK Flat for rent in Sector 4, Greater Noida West",31
2 BHK,"₹17,000 /month",Amrapali Golf Homes,825 sqft(77 sqm),N/A,Not Specified,"2 BHK Flat for rent in Sector 4, Greater Noida West",31
2 BHK,"₹20,500 /month",Gaur City 7th Avenue,"1,075 sqft(100 sqm)",N/A,Not Specified,"2 BHK Flat for rent in Sector 4, Greater Noida West",31
3 BHK,"₹22,000 /month",Gaur City 7th Avenue,"1,185 sqft(110 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Sector 4, Greater Noida West",31
2 BHK,"₹20,000 /month",Gaur City 7th Avenue,"1,165 sqft(108 sqm)",N/A,Not Specified,"2 BHK Flat for rent in Sector 4, Greater Noida West",31
2 BHK,"₹25,000 /month",Amrapali Golf Homes,"1,100 sqft(102 sqm)",Fully Furnished,Bachelors Allowed,"2 BHK Flat for rent in Sector 4, Greater Noida West",31
2 BHK,"₹20,000 /month",Gaur City 1st Avenue,"1,175 sqft(109 sqm)",Semi-Furnished,Not Specified,"2 BHK Flat for rent in Sector 4, Greater Noida West",31
3 BHK,"₹28,000 /month",Amrapali Terrace Homes,"1,700 sqft(158 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Techzone 4 Greater Noida West, Greater Noida",31
3 BHK,"₹20,500 /month",Eros Sampoornam,"1,435 sqft(133 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Sector 2, Greater Noida West",31
2 BHK,"₹21,900 /month",Ace City,"1,090 sqft(101 sqm)",N/A,Not Specified,2 BHK Flat for rent in Sector 1 Greater Noida West,31
3 BHK,"₹22,300 /month",Ace City,"1,530 sqft(142 sqm)",N/A,Not Specified,3 BHK Flat for rent in Sector 1 Greater Noida West,31
2 BHK,"₹24,500 /month",Ace City,"1,325 sqft(123 sqm)",N/A,Not Specified,2 BHK Flat for rent in Sector 1 Greater Noida West,31
2 BHK,"₹22,500 /month",Ace City,"1,090 sqft(101 sqm)",N/A,Not Specified,2 BHK Flat for rent in Sector 1 Greater Noida West,31
2 BHK,"₹24,500 /month",Himalaya Pride,948 sqft(88 sqm),Furnished,Not Specified,"2 BHK Flat for rent in Techzone 4 Greater Noida West, Greater Noida",31
2 BHK,"₹23,000 /month",Hawelia Valenova Park,"1,140 sqft(106 sqm)",N/A,Not Specified,"2 BHK Flat for rent in Techzone 4 Greater Noida West, Greater Noida",31
2 BHK,"₹21,000 /month",Hawelia Valencia Homes,935 sqft(87 sqm),N/A,Not Specified,2 BHK Flat for rent in Sector 1 Greater Noida West,31
2 BHK,"₹25,000 /month",Gulshan Bellina,"1,105 sqft(103 sqm)",N/A,Not Specified,"2 BHK Flat for rent in Sector 16, Greater Noida",31
3 BHK,"₹25,000 /month",Supertech Eco Village 1,"1,718 sqft(160 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Greater Noida West, Greater Noida",31
3 BHK,"₹23,000 /month",Migsun Twinz,"1,225 sqft(114 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Eta 2, Greater Noida",31
3 BHK,"₹21,000 /month",Supertech Eco Village 1,"1,267 sqft(118 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Greater Noida West, Greater Noida",31
3 BHK,"₹30,000 /month",Panchsheel Greens 2,"1,820 sqft(169 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Sector 16, Greater Noida",31
2 BHK,"₹16,000 /month",Panchsheel Greens 2,915 sqft(85 sqm),N/A,Not Specified,"2 BHK Flat for rent in Sector 16, Greater Noida",31
2 BHK,"₹16,000 /month",Supertech Eco Village 1,890 sqft(83 sqm),N/A,Not Specified,"2 BHK Flat for rent in Greater Noida West, Greater Noida",31
2 BHK,"₹30,000 /month",Apex Splendour,"1,383 sqft(128 sqm)",Furnished,Not Specified,"2 BHK Flat for rent in Techzone 4 Greater Noida West, Greater Noida",31
3 BHK,"₹25,000 /month",Exotica Dreamville,"1,340 sqft(124 sqm)",N/A,Not Specified,3 BHK Flat for rent in Noida Extension,31
1 BHK,"₹14,000 /month",Amrapali Dream Valley High Life 2,585 sqft(54 sqm),Semi-Furnished,Not Specified,1 BHK Flat for rent in Noida Extension,32
3 BHK,"₹25,000 /month",Sanskriti Vihar 10th Avenue,"1,470 sqft(137 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Sector 16C, Greater Noida",32
2 BHK,"₹21,000 /month",Panchsheel Greens 2,"1,150 sqft(107 sqm)",N/A,Not Specified,"2 BHK Flat for rent in Sector 16, Greater Noida",32
2 BHK,"₹20,000 /month",Panchsheel Greens 2,"1,150 sqft(107 sqm)",Semi-Furnished,Not Specified,"2 BHK Flat for rent in Sector 16, Greater Noida",32
3 BHK,"₹22,000 /month",Gaur City 2 14th Avenue,"1,300 sqft(121 sqm)",Semi-Furnished,Not Specified,"3 BHK Flat for rent in Sector 16C, Greater Noida",32
3 BHK,"₹19,000 /month",NBCC Leisure Park,"1,145 sqft(106 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Techzone 4 Greater Noida West, Greater Noida",32
2 BHK,"₹24,000 /month",Amrapali Riverview,845 sqft(79 sqm),Furnished,Not Specified,"2 BHK Flat for rent in Techzone 4 Greater Noida West, Greater Noida",32
3 BHK,"₹24,000 /month",Amrapali Golf Homes,"1,550 sqft(144 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Sector 4, Greater Noida West",32
3 BHK,"₹24,000 /month",Gaur City 1st Avenue,"1,470 sqft(137 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Sector 4, Greater Noida West",32
3 BHK,"₹30,000 /month",Gaur Saundaryam,"1,595 sqft(148 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Techzone 4 Greater Noida West, Greater Noida",32
3 BHK,"₹25,000 /month",Ajnara Le Garden,"1,295 sqft(120 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Sector 16B, Greater Noida",32
3 BHK,"₹45,000 /month",ATS Dolce,"2,315 sqft(215 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Sector ZETA 1, Greater Noida",32
3 BHK,"₹24,000 /month",Casa Woodstock,"1,000 sqft(93 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Sector 16C, Greater Noida",32
2 BHK,"₹19,000 /month",Amrapali Centurian Park,"1,055 sqft(98 sqm)",N/A,Not Specified,"2 BHK Flat for rent in Techzone 4 Greater Noida West, Greater Noida",32
2 BHK,"₹19,000 /month",Ajnara Homes,880 sqft(82 sqm),N/A,Not Specified,"2 BHK Flat for rent in Sector 16B, Greater Noida",32
2 BHK,"₹22,000 /month",Anthem French Apartments,"1,148 sqft(107 sqm)",N/A,Not Specified,"2 BHK Flat for rent in Sector 16B, Greater Noida",32
2 BHK,"₹16,800 /month",Amrapali Golf Homes,945 sqft(88 sqm),N/A,Not Specified,"2 BHK Flat for rent in Sector 4, Greater Noida West",32
2 BHK,"₹20,000 /month",Samridhi Grand Avenue,980 sqft(91 sqm),N/A,Not Specified,"2 BHK Flat for rent in Techzone 4 Greater Noida West, Greater Noida",32
2 BHK,"₹20,000 /month",Panchsheel Greens 2,"1,105 sqft(103 sqm)",N/A,Not Specified,"2 BHK Flat for rent in Sector 16, Greater Noida",32
3 BHK,"₹65,000 /month",Jaypee Greens Star Court,"2,150 sqft(200 sqm)",Furnished,Not Specified,"3 BHK Flat for rent in Jaypee Greens, Greater Noida",32
3 BHK,"₹28,000 /month",Nirala Estate Phase 2,"1,385 sqft(129 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Techzone 4 Greater Noida West, Greater Noida",32
2 BHK,"₹19,200 /month",ABA Cherry County,891 sqft(83 sqm),N/A,Not Specified,"2 BHK Flat for rent in Techzone 4 Greater Noida West, Greater Noida",32
3 BHK,"₹40,000 /month",Panchsheel Greens,"1,900 sqft(177 sqm)",Furnished,Not Specified,"3 BHK Flat for rent in Sector 16B, Greater Noida",32
2 BHK,"₹24,600 /month",ACE Divino,"1,050 sqft(98 sqm)",N/A,Not Specified,2 BHK Flat for rent in Sector 1 Greater Noida West,32
N/A,"₹11,000 /month",Mehak Eco City,900 sqft(84 sqm),N/A,Not Specified,"3 Bedroom House for rent in NH 91, Greater Noida",32
2 BHK,"₹26,000 /month",Panchsheel Greens,915 sqft(85 sqm),N/A,Not Specified,"2 BHK Flat for rent in Sector 16B, Greater Noida",33
3 BHK,"₹22,000 /month",Gaur City 2 14th Avenue,"1,300 sqft(121 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Sector 16C, Greater Noida",33
3 BHK,"₹20,000 /month",Gaur City 2 14th Avenue,"1,185 sqft(110 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Sector 16C, Greater Noida",33
3 BHK,"₹20,999 /month",Habitech Panchtatva,"1,525 sqft(142 sqm)",Furnished,Not Specified,"3 BHK Flat for rent in Techzone 4 Greater Noida West, Greater Noida",33
3 BHK,"₹24,000 /month",Shri Radha Sky Gardens,"1,874 sqft(174 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Sector 16B, Greater Noida",33
2 BHK,"₹40,000 /month",Jaypee Greens Moon Court,"1,414 sqft(131 sqm)",Furnished,Not Specified,"2 BHK Flat for rent in Jaypee Greens, Greater Noida",33
3 BHK,"₹21,000 /month",Amrapali Centurian Park,"1,680 sqft(156 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Techzone 4 Greater Noida West, Greater Noida",33
2 BHK,"₹21,000 /month",Shri Radha Sky Gardens,"1,200 sqft(111 sqm)",Furnished,Not Specified,"2 BHK Flat for rent in Sector 16B, Greater Noida",33
2 BHK,"₹19,000 /month",Mahagun Mantraa 2,"1,125 sqft(105 sqm)",N/A,Not Specified,"2 BHK Flat for rent in Sector 10 Greater Noida West, Greater Noida",33
3 BHK,"₹41,000 /month",Gaur Saundaryam,"1,650 sqft(153 sqm)",Furnished,Not Specified,"3 BHK Flat for rent in Techzone 4 Greater Noida West, Greater Noida",33
3 BHK,"₹35,000 /month",Aims Golf Town,"1,440 sqft(134 sqm)",Furnished,Not Specified,3 BHK Flat for rent in Noida Extension,33
3 BHK,"₹42,000 /month",HomeKraft Happy Trails,"1,625 sqft(151 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Sector 10 Greater Noida West, Greater Noida",33
2 BHK,"₹25,000 /month",Gulshan Bellina,"1,020 sqft(95 sqm)",N/A,Not Specified,"2 BHK Flat for rent in Sector 16, Greater Noida",33
2 BHK,"₹34,000 /month",Gulshan Bellina,"1,105 sqft(103 sqm)",Furnished,Not Specified,"2 BHK Flat for rent in Sector 16, Greater Noida",33
4 BHK,"₹60,000 /month",Royal Nest,"2,035 sqft(189 sqm)",Furnished,Not Specified,"4 BHK Flat for rent in Techzone 4 Greater Noida West, Greater Noida",33
3 BHK,"₹24,958 /month",SKA Greenarch,"1,220 sqft(113 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Sector 16B, Greater Noida",33
3 BHK,"₹25,000 /month",Panchsheel Greens 2,"1,510 sqft(140 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Sector 16, Greater Noida",33
2 BHK,"₹19,000 /month",Samridhi Grand Avenue,980 sqft(91 sqm),N/A,Not Specified,"2 BHK Flat for rent in Techzone 4 Greater Noida West, Greater Noida",33
1 BHK,"₹22,000 /month",Gaur City 2 14th Avenue,530 sqft(49 sqm),Furnished,Not Specified,"1 BHK Flat for rent in Sector 16C, Greater Noida",33
2 BHK,"₹19,100 /month",Gaur City 2 14th Avenue,"1,040 sqft(97 sqm)",N/A,Not Specified,"2 BHK Flat for rent in Sector 16C, Greater Noida",33
1 BHK,"₹20,000 /month",Gaur City 2 14th Avenue,530 sqft(49 sqm),Furnished,Not Specified,"1 BHK Flat for rent in Sector 16C, Greater Noida",33
